name,city,source,link,min_salary,max_salary,currency
Уборщица производственных помещений,Санкт-Петербург,HH.RU,https://hh.ru/vacancy/42880576?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,13000.0,,руб.
Дворник,Самара,HH.RU,https://hh.ru/vacancy/42023933?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,22000.0,,руб.
Уборщица/уборщик служебных помещений,Москва,HH.RU,https://hh.ru/vacancy/42873054?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,,,
Уборщик-Дворник на производство,Москва,HH.RU,https://hh.ru/vacancy/42483505?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,42000.0,52000.0,руб.
Дворник,Красноярск,HH.RU,https://hh.ru/vacancy/40359857?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,19680.0,19680.0,руб.
Уборщица/уборщик офисных помещений,Санкт-Петербург,HH.RU,https://hh.ru/vacancy/42147500?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,28000.0,28000.0,руб.
Дворник (уборщик территории),Самара,HH.RU,https://hh.ru/vacancy/42448341?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,23000.0,23000.0,руб.
Дворник,Витебск,HH.RU,https://hh.ru/vacancy/41493772?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,,,
Дворник,Казань,HH.RU,https://hh.ru/vacancy/42584290?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,20000.0,20000.0,руб.
Дворник,Екатеринбург,HH.RU,https://hh.ru/vacancy/42866375?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,,18000.0,руб.
Вечерний уборщик/вечерняя уборщица,Санкт-Петербург,HH.RU,https://hh.ru/vacancy/42357605?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,15000.0,,руб.
Дворник,Видное,HH.RU,https://hh.ru/vacancy/41684853?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,31000.0,35000.0,руб.
Дворник,Волгоград,HH.RU,https://hh.ru/vacancy/42204991?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,7810.0,12910.0,руб.
Дворник,Москва,HH.RU,https://hh.ru/vacancy/42890640?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,38000.0,,руб.
Уборщица/Уборщик в Бизнес центр,Москва,HH.RU,https://hh.ru/vacancy/42385919?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,35000.0,,руб.
Дворник,Екатеринбург,HH.RU,https://hh.ru/vacancy/41760458?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,10000.0,,руб.
Дворник(уборщик территории),Санкт-Петербург,HH.RU,https://hh.ru/vacancy/42351669?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,31160.0,31160.0,руб.
Дворник,Новосибирск,HH.RU,https://hh.ru/vacancy/42336927?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,10000.0,12000.0,руб.
Утренняя уборщица/Утренний уборщик офисных помещений (Богдановича),Минск,HH.RU,https://hh.ru/vacancy/42555849?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,260.0,260.0,бел.руб.
